marque,annee,etat,localite,region,prix,lien_image
Piaggio,2018,Venant,Guediawaye,Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/10f515d1554c412d0fb1b7a975b8798a/-/horizon-files-prod/ed/picture/qdek4k75/25e5d761e0a67a89c704f2961b10990a53c75f79.jpg
Honda,2018,D'occasion,Plateau,Dakar,1400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/30672868a46a7fcb44ad8760b63f43bb/-/horizon-files-prod/ed/picture/qj4rjn55/5daa27b2e4cf9b40194820511a99d37f860e1b9b.jpg
Yamaha,2016,D'occasion,Grand-Dakar,Dakar,950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8a10dae5fa2fc9ecc68cc58e3e3a43e5/-/horizon-files-prod/ed/picture/qrzv7wd2/90b0c61ea5ea194d4c1b0c8dde22929e244369ff.jpg
BMW,2019,D'occasion,VDN,Dakar,5500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9efa2d846fa7fe78a11ca9191c17956b/-/horizon-files-prod/ed/picture/qzvdx0rq/a468788df9cf868e85a17eccb24856bb090ec678.png
Yamaha,2012,Venant,Ouakam,Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6f4eebecf83e2c5c5275cb2dd737423/-/horizon-files-prod/ed/picture/qrzvzv25/5b605ab1fdec117b4caa7da1eeb4f97611dbc628.jpg
Yamaha,2015,Venant,Hann Bel-Air,Dakar,2450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d64d5381ead7190a9a3afccef863d2f/-/horizon-files-prod/ed/picture/qwe2k6jz/91dded7d4abe9a99509acbeb9042c515d26e0151.jpg
Can Am,2023,Neuf,Hann maristes,Dakar,5000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3778767cb109133ae0b9729d947d8cfc/-/horizon-files-prod/ed/picture/q6xk7dmz/4795f30c6f71f3645a8631b0505e8d1a29f6f423.jpg
Yamaha,2023,Neuf,Point-e,Dakar,6600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c2c8fdf8f69494f6116f29bc8a2df1d/-/horizon-files-prod/ed/picture/q448pgz9/16a9894e02a6fc10aa7b9945269b71d953a68cfa.jpg
Kymco,2019,Neuf,Guediawaye,Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e1229a65d69b3b827ec0b209f6a91a7a/-/horizon-files-prod/ed/picture/qkrg0q9j/6bfa77c1bc52f206e3284cc192558302e95da88a.jpg
Yamaha,2008,Venant,Guediawaye,Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f0eb7a4b89cbc99665689ab5f5faa465/-/horizon-files-prod/ed/picture/qen56w74/441e905de4e1cfb0b1ede5b93817233e07964ce6.jpg
Yamaha,2010,Venant,Guediawaye,Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5a22d50b05bddb40d3bc3e091ac1c685/-/horizon-files-prod/ed/picture/qv4p2we8/5fc1765acbb78a53e0addb111c77929e166e54e4.jpg
Yamaha,2012,Neuf,Guediawaye,Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/933cc7e4f7758e36fe8251d9ad2d615c/-/horizon-files-prod/ed/picture/qngxwn9r/3539bff9d75dc6d454e10b7e98688889a2a3159d.jpg
SYM,2018,Neuf,Guediawaye,Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cdd43a06817e123dc67b5da2e5a91570/-/horizon-files-prod/ed/picture/qzvdx54d/2886c4d834575d1fbc67a3f369e9aece5dd831c9.jpg
Yamaha,2016,Venant,Guediawaye,Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/270ee4b49f74b5a80c29478beae93f08/-/horizon-files-prod/ed/picture/q8v5gxvx/30c9d4eeed1a3067b2834c848cddab29c41f7602.jpg
Yamaha,2019,D'occasion,Plateau,Dakar,2900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/32a9eb0ef8cd1b377c92e9939877feec/-/horizon-files-prod/ed/picture/q2jqg582/80ecebb146a4719cd4d87c51a237f3c958192944.jpg
Autre,2023,Neuf,Liberte 6 extension,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ef4717ccd44447b7e8c27e2fabb6caa9/-/horizon-files-prod/ed/picture/q8v5gg4j/d24bd1ea3a8b644f8858fb9295565321021639e5.jpg
BMW,2018,Venant,Plateau,Dakar,4200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/411d4d0a460b32a3f949bd30b04c2240/-/horizon-files-prod/ed/picture/qxj2qqdz/889dc627780943f5acbc47053565f93d89f15f66.jpg
Honda,2019,Venant,Médina,Dakar,4250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b6462c0ef879f18218dd9a7342422e9/-/horizon-files-prod/ed/picture/qzvdxj0x/885070f1113ab867036b09523947ff7b18238c8f.jpg
Honda,2018,Venant,Médina,Dakar,3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8350834ffe555ba338f9e34d64b32dd8/-/horizon-files-prod/ed/picture/q9m9gnxx/f6ed3092d46f34d62e9b234971902be41ff752c9.jpg
Honda,2019,Venant,Médina,Dakar,4250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4211a5316efdf7a98fc8a81803846ac3/-/horizon-files-prod/ed/picture/q6xk5v8z/e13af8262d354c2b4262f704e29c0233081609be.jpg
Yamaha,2022,Venant,Médina,Dakar,5000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1184d3ad840d5b92f4f19b671f84cbdc/-/horizon-files-prod/ed/picture/qngxwjkv/d266fde511db43e52a8f497ace0ece67db1d3ff8.jpg
