marque,annee,etat,type_boite_vitesse,localite,region,prix,lien_image
Mitsubishi,2014,D'occasion,Automatique,Almadies,Dakar,6500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9ab5d007048b8ac95d541d424f34385a/-/horizon-files-prod/ed/picture/qenq7jn9/c03c92feb372a8baffe22e3f60f3b64f6372eb13.jpg
Volkswagen,2012,D'occasion,Manuelle,Liberte 6,Dakar,1900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/61f2ca4e24c8735887d8b2e902c1a5a6/-/horizon-files-prod/ed/picture/qrzv0nmm/617698803af61f45ff68c3517695d2767765be1a.jpg
Mazda,2016,Neuf,Automatique,Cité Damel,Dakar,10100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4f70d9ac487d6bce0335881268ff1d0b/-/horizon-files-prod/ed/picture/qq47vge6/e3e3317de54a33484d06699ad64e368cb3cf21f9.jpg
Toyota,2013,D'occasion,Automatique,Cité Damel,Dakar,5500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d5a4dc136395342e2773dd519ce9067e/-/horizon-files-prod/ed/picture/qpd62dmj/d185172e5cd4454a9cc481198a13377fdffeaabc.jpg
Kia,2016,Neuf,Automatique,Cité Damel,Dakar,11800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/97df6919a246f27a744b0c3badb75fe1/-/horizon-files-prod/ed/picture/qngxzv2m/f45546352d29635e561b3e714cb77024f24783b3.jpg
Mitsubishi,2019,D'occasion,Automatique,Cité Damel,Dakar,13500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/44a342af976b1b56b20a032ddc08ff6f/-/horizon-files-prod/ed/picture/qxj2xm28/6e0a14acd307e1ee1d42b5cc2e7813f9e278b92b.jpg
Ford,2015,Venant,Automatique,Cité Damel,Dakar,6000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/166e74a30ab8954c616c608758d21715/-/horizon-files-prod/ed/picture/q56x5qqr/0405268a3911518c902604b826b315e692fd810e.jpg
Ford,2015,D'occasion,Automatique,Almadies,Dakar,3900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d0f51f8af5e8dbd99c10407ba7fc12c9/-/horizon-files-prod/ed/picture/qkrgv56z/5979a99443f2caabc28c4db667738eacfdcb102d.jpg
Toyota,2019,Neuf,Automatique,Cité Damel,Dakar,28000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/74d9b6365e3eec648f962af086c6e4d0/-/horizon-files-prod/ed/picture/q0gwzk6x/307864a9f5a7bb7932e1e0f62cd3d217884cb795.jpg
Ford,2016,Venant,Automatique,VDN,Dakar,12800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d2c62ec7fafca2873fa7b5b92da6643/-/horizon-files-prod/ed/picture/qm5p0g4w/b937a10516a231a4c4ba526afc94e5075187c2ed.jpg
Peugeot,2015,Venant,Manuelle,Keur Massar,Dakar,5800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7e126b83cfe73de1b503f913d54ac451/-/horizon-files-prod/ed/picture/qwe2856g/d5e69614cb60a36ef4e54f6ed93c3e3b6f8b5a87.jpg
Ford,2015,D'occasion,Automatique,Cité Damel,Dakar,8700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/25f22607163d9fe1750c87fb10e657d1/-/horizon-files-prod/ed/picture/qq478dzj/0efc7e2796b7b9f9c7d2decf1206b389f06290e9.jpg
